,Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
16,656-95-9349,A,1,0,0,Normal,Male,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,4.6
17,765-26-6951,A,1,0,0,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,6.9
18,329-62-1586,A,1,0,0,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,8.6
19,319-50-3348,B,0,0,1,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,4.4
20,300-71-4605,C,0,1,0,Normal,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,4.8
21,371-85-5789,B,0,0,1,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40,Ewallet,5.1
22,273-16-6619,B,0,0,1,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,4.4
23,636-48-8204,A,1,0,0,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,9.9
24,549-59-1358,A,1,0,0,Normal,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,6.0
25,227-03-5010,A,1,0,0,Normal,Male,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,Credit card,8.5
26,649-29-6775,B,0,0,1,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,Cash,6.7
27,189-17-4241,A,1,0,0,Normal,Male,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,Credit card,7.7
28,145-94-9061,B,0,0,1,Normal,Male,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,9.6
29,848-62-7243,A,1,0,0,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,7.4
30,871-79-8483,B,0,0,1,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,Credit card,4.8
31,149-71-6266,B,0,0,1,Normal,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43,Cash,4.5
32,640-49-2076,B,0,0,1,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49,Cash,5.1
33,595-11-5460,A,1,0,0,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12,Credit card,5.1
34,183-56-6882,C,0,1,0,Normal,Male,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42,Ewallet,7.5
35,232-16-2483,C,0,1,0,Normal,Male,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28,Ewallet,6.8
36,129-29-8530,A,1,0,0,Normal,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15,Ewallet,7.0
37,272-65-1806,A,1,0,0,Normal,Male,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17,Ewallet,4.7
38,333-73-7901,C,0,1,0,Normal,Male,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24,Ewallet,7.6
39,777-82-7220,B,0,0,1,Normal,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01,Cash,7.7
40,280-35-5823,B,0,0,1,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,Ewallet,7.9
41,554-53-8700,C,0,1,0,Normal,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11,Cash,6.3
42,354-25-5821,B,0,0,1,Normal,Male,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03,Cash,5.6
43,228-96-1411,C,0,1,0,Normal,Male,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,Cash,7.6
44,617-15-4209,C,0,1,0,Normal,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47,Cash,7.2
45,132-32-9879,B,0,0,1,Normal,Male,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00,Cash,9.5
73,841-35-6630,C,0,1,0,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21,Cash,8.7
74,287-21-9091,A,1,0,0,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,Ewallet,9.4
75,732-94-0499,C,0,1,0,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04,Credit card,5.4
76,263-10-3913,C,0,1,0,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20,Credit card,8.6
77,381-20-0914,A,1,0,0,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,Credit card,5.7
78,829-49-1914,C,0,1,0,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24,Ewallet,6.6
79,756-01-7507,C,0,1,0,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56,Cash,6.0
80,870-72-4431,C,0,1,0,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42,Credit card,5.5
81,847-38-7188,B,0,0,1,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56,Ewallet,6.4
82,480-63-2856,C,0,1,0,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,6.6
83,787-56-0757,C,0,1,0,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45,Credit card,8.3
84,360-39-5055,C,0,1,0,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17,Cash,6.6
85,730-50-9884,C,0,1,0,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31,Ewallet,4.0
86,362-58-8315,C,0,1,0,Normal,Male,Fashion accessories,76.52,5,19.130000000000052,401.73,2019-03-25,10:23,Cash,9.9
87,633-44-8566,A,1,0,0,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35,Credit card,7.3
88,504-35-8843,A,1,0,0,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,Cash,5.7
89,318-68-5053,B,0,0,1,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55,Cash,6.1
90,565-80-5980,C,0,1,0,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25,Cash,7.1
91,225-32-0908,C,0,1,0,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54,Ewallet,8.2
92,873-51-0671,A,1,0,0,Member,Female,Sports and travel,21.98,7,7.692999999999984,161.553,2019-01-10,16:42,Ewallet,5.1
93,152-08-9985,B,0,0,1,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09,Credit card,8.6
94,512-91-0811,C,0,1,0,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05,Credit card,6.6
95,594-34-4444,A,1,0,0,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38,Ewallet,7.2
96,766-85-7061,B,0,0,1,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25,Ewallet,5.1
98,865-92-6136,A,1,0,0,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16,Ewallet,9.3
99,733-01-9107,B,0,0,1,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,Cash,7.4
100,163-56-7055,C,0,1,0,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20,Cash,4.1
101,189-98-2939,C,0,1,0,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22,Cash,7.2
102,551-21-3069,C,0,1,0,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27,Cash,4.9
103,212-62-1842,A,1,0,0,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44,Cash,9.9
104,716-39-1409,B,0,0,1,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19,Cash,8.0
105,704-48-3927,A,1,0,0,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,Ewallet,7.3
106,628-34-3388,C,0,1,0,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54,Credit card,7.9
107,630-74-5166,A,1,0,0,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2019-03-22,20:19,Cash,7.4
114,237-01-6122,C,0,1,0,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2019-02-01,20:31,Credit card,9.5
115,225-98-1496,C,0,1,0,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2019-03-02,13:01,Credit card,7.1
116,291-32-1427,B,0,0,1,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2019-03-05,12:29,Ewallet,5.3
117,659-65-8956,B,0,0,1,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26,Ewallet,5.2
118,642-32-2990,A,1,0,0,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02,20:48,Ewallet,6.0
119,378-24-2715,B,0,0,1,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2019-01-20,20:38,Ewallet,4.1
120,638-60-7125,A,1,0,0,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2019-02-14,17:03,Credit card,5.2
121,659-36-1684,C,0,1,0,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02,Credit card,6.5
122,219-22-9386,B,0,0,1,Member,Male,Sports and travel,99.96,9,44.982,944.622,2019-03-09,17:26,Credit card,4.2
123,336-78-2147,C,0,1,0,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2019-03-13,19:52,Credit card,4.6
124,268-27-6179,B,0,0,1,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2019-03-09,14:57,Ewallet,7.3
125,668-90-8900,A,1,0,0,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2019-03-10,18:44,Credit card,4.5
126,870-54-3162,A,1,0,0,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2019-01-27,13:26,Cash,9.0
127,189-08-9157,C,0,1,0,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2019-01-08,16:17,Credit card,5.9
128,663-86-9076,C,0,1,0,Member,Female,Food and beverages,68.54,8,27.416,575.736,2019-01-08,15:57,Ewallet,8.5
129,549-84-7482,B,0,0,1,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2019-02-08,11:15,Ewallet,7.2
130,191-10-6171,B,0,0,1,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2019-01-25,13:18,Cash,7.5
131,802-70-5316,A,1,0,0,Member,Female,Sports and travel,92.13,6,27.639,580.419,2019-03-06,20:34,Cash,8.3
132,695-51-0018,B,0,0,1,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2019-02-10,18:36,Cash,7.4
133,590-83-4591,B,0,0,1,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2019-02-17,14:40,Credit card,8.8
134,483-71-1164,C,0,1,0,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-03-08,16:43,Ewallet,5.3
135,597-78-7908,C,0,1,0,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2019-02-18,19:39,Cash,6.2
136,700-81-1757,A,1,0,0,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59,Credit card,8.8
137,354-39-5160,A,1,0,0,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2019-02-18,15:39,Cash,9.8
138,241-72-9525,B,0,0,1,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2019-02-16,12:21,Cash,8.2
139,575-30-8091,A,1,0,0,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2019-03-16,19:25,Ewallet,9.2
140,731-81-9469,C,0,1,0,Member,Female,Sports and travel,89.8,10,44.9,942.9,2019-01-23,13:00,Credit card,5.4
141,280-17-4359,C,0,1,0,Member,Male,Health and beauty,90.5,10,45.25,950.25,2019-01-25,13:48,Cash,8.1
142,338-65-2210,C,0,1,0,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-02-05,19:57,Cash,9.1
143,488-25-4221,C,0,1,0,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2019-02-22,10:36,Credit card,8.4
144,239-10-7476,A,1,0,0,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2019-01-21,16:37,Ewallet,8.0
145,458-41-1477,C,0,1,0,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2019-03-08,17:11,Credit card,9.5
146,685-64-1609,A,1,0,0,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-02-10,12:28,Ewallet,9.2
147,568-90-5112,C,0,1,0,Normal,Male,Health and beauty,66.14,4,13.228,277.788,2019-03-19,12:46,Credit card,5.6
148,262-47-2794,B,0,0,1,Member,Male,Home and lifestyle,71.86,8,28.744,603.624,2019-03-06,15:07,Credit card,6.2
149,238-49-0436,A,1,0,0,Normal,Male,Health and beauty,32.46,8,12.984,272.664,2019-03-27,13:48,Credit card,4.9
150,608-96-3517,B,0,0,1,Member,Female,Fashion accessories,91.54,4,18.308,384.468,2019-03-23,19:20,Credit card,4.8
151,584-86-7256,C,0,1,0,Member,Male,Sports and travel,34.56,7,12.096,254.016,2019-03-11,16:07,Credit card,7.3
152,746-94-0204,A,1,0,0,Normal,Male,Fashion accessories,83.24,9,37.458,786.618,2019-01-29,11:56,Credit card,7.4
153,214-17-6927,C,0,1,0,Normal,Female,Food and beverages,16.48,6,4.944,103.824,2019-02-07,18:23,Ewallet,9.9
154,400-89-4171,C,0,1,0,Normal,Female,Sports and travel,80.97,8,32.388,680.148,2019-01-28,13:05,Cash,9.3
155,782-95-9291,A,1,0,0,Member,Male,Food and beverages,92.29,5,23.0725,484.5225,2019-02-20,15:55,Credit card,9.0
156,279-74-2924,B,0,0,1,Member,Male,Electronic accessories,72.17,1,3.6085,75.7785,2019-01-04,19:40,Cash,6.1
157,307-85-2293,B,0,0,1,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-03-07,13:58,Ewallet,7.052898550724643
158,743-04-1105,B,0,0,1,Member,Male,Health and beauty,97.22,9,43.749,918.729,2019-03-30,14:43,Ewallet,6.0
159,423-57-2993,B,0,0,1,Normal,Male,Sports and travel,93.39,6,28.017,588.357,2019-03-27,19:18,Ewallet,10.0
160,894-41-5205,C,0,1,0,Normal,Female,Food and beverages,43.18,8,17.272,362.712,2019-01-19,19:39,Credit card,8.3
161,275-28-0149,A,1,0,0,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2019-02-25,16:21,Cash,6.0
162,101-17-6199,A,1,0,0,Normal,Male,Food and beverages,45.79,7,16.0265,336.5565,2019-03-13,19:44,Credit card,7.0
163,423-80-0988,C,0,1,0,Normal,Male,Sports and travel,76.4,2,7.64,160.44,2019-01-30,19:42,Ewallet,6.5
164,548-46-9322,B,0,0,1,Normal,Male,Food and beverages,39.9,10,19.95,418.95,2019-02-20,15:24,Credit card,5.9
165,505-02-0892,B,0,0,1,Member,Male,Health and beauty,42.57,8,17.028,357.588,2019-02-25,14:12,Ewallet,5.6
168,796-32-9050,A,1,0,0,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,16:31,Cash,6.5
169,105-31-1824,A,1,0,0,Member,Male,Sports and travel,69.52,7,24.332,510.972,2019-02-01,15:10,Credit card,8.5
170,249-42-3782,A,1,0,0,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,2019-01-03,11:36,Ewallet,5.5
171,316-55-4634,B,0,0,1,Member,Male,Food and beverages,80.05,5,20.0125,420.2625,2019-01-26,12:45,Credit card,9.4
172,733-33-4967,C,0,1,0,Normal,Male,Electronic accessories,20.85,8,8.34,175.14,2019-03-03,19:17,Cash,6.3
173,608-27-6295,B,0,0,1,Member,Male,Electronic accessories,52.89,6,15.867,333.207,2019-01-19,17:34,Credit card,9.8
174,414-12-7047,B,0,0,1,Normal,Male,Food and beverages,19.79,8,7.916,166.236,2019-01-18,12:04,Ewallet,8.7
175,827-26-2100,A,1,0,0,Member,Male,Home and lifestyle,33.84,9,15.228,319.788,2019-03-21,16:21,Ewallet,8.8
176,175-54-2529,A,1,0,0,Member,Male,Food and beverages,22.17,8,8.868,186.228,2019-03-03,17:01,Credit card,9.6
177,139-52-2867,C,0,1,0,Normal,Female,Fashion accessories,22.51,7,7.8785,165.4485,2019-02-13,10:50,Credit card,4.8
178,407-63-8975,A,1,0,0,Normal,Male,Food and beverages,73.88,6,22.164,465.444,2019-03-23,19:16,Ewallet,4.4
179,342-65-4817,C,0,1,0,Member,Male,Health and beauty,86.8,3,13.02,273.42,2019-01-28,16:47,Ewallet,9.9
180,130-98-8941,C,0,1,0,Normal,Male,Fashion accessories,64.26,7,22.491,472.311,2019-02-09,10:00,Cash,5.7
181,434-83-9547,C,0,1,0,Member,Male,Food and beverages,38.47,8,15.388,323.148,2019-01-23,11:51,Cash,7.7
182,851-28-6367,A,1,0,0,Member,Male,Sports and travel,15.5,10,7.75,162.75,2019-03-23,10:55,Ewallet,8.0
183,824-88-3614,C,0,1,0,Normal,Male,Health and beauty,34.31,8,13.724,288.204,2019-01-25,15:00,Ewallet,5.7
184,586-25-0848,A,1,0,0,Normal,Female,Sports and travel,12.34,7,4.319,90.699,2019-03-04,11:19,Credit card,6.7
185,895-66-0685,B,0,0,1,Member,Male,Food and beverages,18.08,3,2.712,56.952,2019-03-05,19:46,Ewallet,8.0
186,305-14-0245,B,0,0,1,Member,Female,Home and lifestyle,94.49,8,37.796,793.716,2019-03-03,19:00,Ewallet,7.5
187,732-04-5373,B,0,0,1,Member,Male,Home and lifestyle,46.47,4,9.294,195.174,2019-02-08,10:53,Cash,7.0
188,400-60-7251,A,1,0,0,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2019-02-10,12:50,Ewallet,9.9
189,593-65-1552,C,0,1,0,Normal,Female,Home and lifestyle,69.81,4,13.962,293.202,2019-01-28,20:50,Credit card,5.9
190,284-34-9626,B,0,0,1,Normal,Female,Home and lifestyle,77.04,3,11.556,242.676,2019-02-11,10:39,Credit card,7.2
191,437-58-8131,B,0,0,1,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,2019-01-15,13:41,Ewallet,4.6
192,286-43-6208,C,0,1,0,Normal,Female,Food and beverages,87.8,9,39.51,829.71,2019-03-16,19:08,Cash,9.2
193,641-43-2399,B,0,0,1,Normal,Male,Home and lifestyle,25.55,4,5.11,107.31,2019-01-26,20:23,Ewallet,5.7
194,831-07-6050,A,1,0,0,Normal,Male,Electronic accessories,32.71,5,8.1775,171.7275,2019-03-19,11:30,Credit card,9.9
195,556-86-3144,C,0,1,0,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,2019-01-13,19:30,Cash,5.0
196,848-24-9445,C,0,1,0,Member,Male,Health and beauty,43.7,2,4.37,91.77,2019-03-26,18:03,Cash,4.9
197,856-22-8149,A,1,0,0,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.5545,2019-03-23,10:13,Ewallet,6.1
198,699-01-4164,C,0,1,0,Normal,Male,Health and beauty,41.5,4,8.3,174.3,2019-03-12,19:58,Credit card,8.2
199,420-11-4919,C,0,1,0,Member,Female,Food and beverages,71.39,5,17.8475,374.7975,2019-02-17,19:57,Credit card,5.5
200,606-80-4905,C,0,1,0,Member,Female,Sports and travel,19.15,6,5.745,120.645,2019-01-29,10:01,Credit card,6.8
201,542-41-0513,B,0,0,1,Member,Female,Electronic accessories,57.49,4,11.498,241.458,2019-03-15,11:57,Cash,6.6
202,426-39-2418,C,0,1,0,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,2019-01-14,10:02,Cash,9.8
203,875-46-5808,B,0,0,1,Member,Male,Health and beauty,25.9,10,12.95,271.95,2019-02-06,14:51,Ewallet,8.7
204,394-43-4238,B,0,0,1,Member,Male,Home and lifestyle,17.77,5,4.4425,93.2925,2019-02-15,12:42,Credit card,5.4
205,749-24-1565,A,1,0,0,Normal,Female,Health and beauty,23.03,9,10.3635,217.6335,2019-01-03,12:02,Ewallet,7.9
206,672-51-8681,C,0,1,0,Member,Female,Electronic accessories,66.65,9,29.9925,629.8425,2019-01-04,18:19,Credit card,9.7
207,263-87-5680,C,0,1,0,Member,Female,Home and lifestyle,28.53,10,14.265,299.565,2019-03-18,17:38,Ewallet,7.8
208,573-58-9734,B,0,0,1,Normal,Female,Fashion accessories,30.37,3,4.5555,95.6655,2019-03-28,13:41,Ewallet,5.1
209,817-69-8206,B,0,0,1,Normal,Female,Electronic accessories,99.73,9,44.8785,942.4485,2019-03-02,19:42,Credit card,6.5
210,888-02-0338,A,1,0,0,Normal,Male,Electronic accessories,26.23,9,11.8035,247.8735,2019-01-25,20:24,Ewallet,5.9
211,677-11-0152,C,0,1,0,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2019-01-16,18:08,Cash,8.8
212,142-63-6033,B,0,0,1,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,2019-03-20,19:17,Ewallet,4.9
213,656-16-1063,B,0,0,1,Normal,Male,Sports and travel,46.42,3,6.963,146.223,2019-01-04,13:24,Credit card,4.4
214,891-58-8335,B,0,0,1,Member,Female,Sports and travel,29.61,7,10.3635,217.6335,2019-03-11,15:53,Cash,6.5
215,802-43-8934,A,1,0,0,Normal,Male,Home and lifestyle,18.28,1,0.914,19.194,2019-03-22,15:05,Credit card,8.3
216,560-30-5617,B,0,0,1,Normal,Female,Sports and travel,24.77,5,6.1925,130.0425,2019-03-24,18:27,Cash,8.5
217,319-74-2561,A,1,0,0,Member,Female,Electronic accessories,94.64,3,14.196,298.116,2019-02-21,16:55,Cash,5.5
218,549-03-9315,B,0,0,1,Normal,Male,Fashion accessories,94.87,8,37.948,796.908,2019-02-12,12:58,Ewallet,8.7
219,790-29-1172,B,0,0,1,Normal,Female,Food and beverages,57.34,3,8.601,180.621,2019-03-10,18:59,Credit card,7.9
220,239-36-3640,B,0,0,1,Normal,Male,Electronic accessories,45.35,6,13.605,285.705,2019-01-31,13:44,Ewallet,6.1
221,468-01-2051,B,0,0,1,Normal,Male,Food and beverages,62.08,7,21.728,456.288,2019-03-06,13:46,Ewallet,5.4
222,389-25-3394,C,0,1,0,Normal,Male,Electronic accessories,11.81,5,2.9525,62.0025,2019-02-17,18:06,Cash,9.4
223,279-62-1445,C,0,1,0,Member,Female,Fashion accessories,12.54,1,0.627,13.167,2019-02-21,12:38,Cash,8.2
224,213-72-6612,A,1,0,0,Normal,Male,Food and beverages,43.25,2,4.325,90.825,2019-03-20,15:56,Cash,6.2
225,746-68-6593,C,0,1,0,Member,Female,Sports and travel,87.16,2,8.716,183.036,2019-01-11,14:29,Credit card,9.7
226,836-82-5858,B,0,0,1,Member,Male,Health and beauty,69.37,9,31.2165,655.5465,2019-01-26,19:14,Ewallet,4.0
227,583-72-1480,C,0,1,0,Member,Male,Electronic accessories,37.06,4,7.412,155.652,2019-01-31,16:24,Ewallet,9.7
228,466-61-5506,B,0,0,1,Member,Female,Electronic accessories,90.7,6,27.21,571.41,2019-02-26,10:52,Cash,5.3
229,721-86-6247,A,1,0,0,Normal,Female,Home and lifestyle,63.42,8,25.368,532.728,2019-03-11,12:55,Ewallet,7.4
230,289-65-5721,B,0,0,1,Normal,Female,Fashion accessories,81.37,2,8.137,170.877,2019-01-26,19:28,Cash,6.5
231,545-46-3100,B,0,0,1,Member,Female,Electronic accessories,10.59,3,1.5885,33.3585,2019-03-12,13:52,Credit card,8.7
232,418-02-5978,B,0,0,1,Normal,Female,Health and beauty,84.09,9,37.8405,794.6505,2019-02-11,10:54,Cash,8.0
233,269-04-5750,B,0,0,1,Member,Male,Fashion accessories,73.82,4,14.764,310.044,2019-02-21,18:31,Cash,6.7
234,157-13-5295,A,1,0,0,Member,Male,Health and beauty,51.94,10,25.97,545.37,2019-03-09,18:24,Ewallet,6.5
235,645-78-8093,A,1,0,0,Normal,Female,Sports and travel,93.14,2,9.314,195.594,2019-01-20,18:09,Ewallet,4.1
236,211-30-9270,C,0,1,0,Normal,Male,Health and beauty,17.41,5,4.3525,91.4025,2019-01-28,15:16,Credit card,4.9
237,755-12-3214,C,0,1,0,Member,Female,Fashion accessories,44.22,5,11.055,232.155,2019-03-05,17:07,Credit card,8.6
239,478-06-7835,A,1,0,0,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,2019-01-11,11:20,Ewallet,4.9
240,540-11-4336,A,1,0,0,Normal,Male,Food and beverages,24.94,9,11.223,235.683,2019-01-11,16:49,Credit card,5.6
241,448-81-5016,A,1,0,0,Normal,Male,Health and beauty,59.77,2,5.977,125.517,2019-03-11,12:01,Credit card,5.8
242,142-72-4741,C,0,1,0,Member,Male,Fashion accessories,93.2,2,9.32,195.72,2019-02-28,18:37,Credit card,6.0
243,217-58-1179,A,1,0,0,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,2019-01-05,11:25,Cash,4.2
244,376-02-8238,B,0,0,1,Normal,Male,Home and lifestyle,93.87,8,37.548,788.508,2019-02-02,18:42,Credit card,8.3
245,530-90-9855,A,1,0,0,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,2019-01-01,14:47,Cash,5.7
246,866-05-7563,B,0,0,1,Member,Female,Electronic accessories,81.4,3,12.21,256.41,2019-02-09,19:43,Cash,4.8
